NOTA_CN,NOTA_CH,NOTA_LC,NOTA_MT,NU_NOTA_REDACAO,IDX
400,600,600,600,400,150920
400,400,400,400,400,150921
600,600,400,600,400,150922
400,600,400,400,400,150923
400,400,600,600,600,150924
600,600,600,400,800,150925
600,600,600,600,800,150926
400,400,400,400,600,150927
600,400,400,400,400,150928
400,600,400,600,600,150929
400,400,400,400,800,150930
400,600,600,600,600,150931
400,400,400,400,400,150932
400,400,400,400,600,150933
400,400,400,600,400,150934
400,400,400,600,400,150935
400,600,600,600,400,150936
400,400,400,400,400,150937
400,600,400,600,400,150938
400,400,400,600,400,150939
400,600,600,600,800,150940
400,400,400,400,400,150941
400,600,400,600,400,150942
400,400,400,600,600,150943
400,400,400,400,200,150944
400,400,400,400,200,150945
400,600,600,400,600,150946
400,600,600,600,600,150947
400,600,400,600,600,150948
400,600,600,400,800,150949
400,600,400,600,800,150950
600,600,600,600,600,150951
600,600,600,400,600,150952
400,400,400,400,200,150953
400,600,400,600,400,150954
400,600,600,600,600,150955
400,600,600,400,600,150956
600,600,600,600,800,150957
400,400,400,400,400,150958
400,400,600,400,600,150959
400,400,400,400,400,150960
400,400,400,400,400,150961
400,400,600,400,400,150962
400,600,400,600,600,150963
400,600,600,600,800,150964
400,400,400,600,400,150965
400,600,400,600,400,150966
600,600,600,600,400,150967
400,400,600,600,600,150968
400,400,400,600,600,150969
600,600,600,800,600,150970
400,400,400,400,400,150971
600,600,600,400,600,150972
400,400,600,400,400,150973
400,600,400,400,400,150974
400,600,400,600,600,150975
400,600,400,600,400,150976
600,400,400,400,600,150977
400,600,400,400,600,150978
600,600,600,600,400,150979
400,400,400,600,600,150980
400,600,400,400,400,150981
400,400,400,400,400,150982
400,400,400,400,600,150983
400,400,400,400,400,150984
400,400,400,400,400,150985
600,400,600,400,600,150986
400,600,400,400,600,150987
400,400,600,400,600,150988
400,400,400,600,400,150989
600,600,600,400,600,150990
400,400,400,400,400,150991
400,600,400,400,200,150992
400,400,400,400,400,150993
400,600,600,600,600,150994
400,600,400,600,800,150995
400,400,400,400,400,150996
600,600,600,600,600,150997
600,600,600,600,800,150998
600,600,600,600,600,150999
600,600,600,600,400,151000
400,600,400,400,400,151001
600,600,600,400,600,151002
400,400,400,400,400,151003
400,400,400,600,400,151004
400,400,400,400,600,151005
600,800,600,800,1000,151006
400,600,400,400,600,151007
600,600,600,600,600,151008
400,600,600,400,600,151009
400,600,400,400,600,151010
400,400,400,400,600,151011
400,400,400,600,400,151012
400,400,400,400,400,151013
600,600,600,800,600,151014
400,400,600,400,400,151015
600,600,600,600,400,151016
400,600,400,600,0,151017
400,400,400,400,400,151018
600,600,400,800,600,151019
400,400,400,600,600,151020
400,600,600,600,600,151021
400,600,400,600,400,151022
400,400,400,400,400,151023
400,400,400,400,0,151024
400,400,400,400,600,151025
400,400,400,400,400,151026
400,600,400,400,400,151027
400,600,400,600,400,151028
400,600,600,400,600,151029
400,400,400,400,400,151030
400,400,400,400,400,151031
400,400,400,400,400,151032
600,600,600,600,600,151033
400,400,400,400,200,151034
400,600,400,400,400,151035
400,400,400,400,600,151036
400,400,400,400,400,151037
600,600,600,800,800,151038
400,600,600,400,600,151039
400,400,400,400,600,151040
600,600,600,800,1000,151041
600,600,600,600,600,151042
400,600,600,600,600,151043
400,400,600,400,600,151044
400,400,400,400,400,151045
600,600,600,800,600,151046
600,600,600,800,600,151047
400,400,400,400,400,151048
600,600,600,400,600,151049
400,400,400,400,400,151050
400,400,400,600,600,151051
400,600,400,400,600,151052
400,400,400,400,400,151053
