UF_RESIDENCIA,IDADE,TP_SEXO,ST_CONCLUSAO,ANO_CONCLUIU,TP_ESCOLA,TP_ESTADO_CIVIL,TP_COR_RACA,IDX
5,18,1,1,2012,0,0,3,150602
7,19,1,1,2011,0,0,3,150603
10,15,1,3,0,0,0,1,150604
25,17,0,2,0,2,0,1,150605
13,23,1,3,0,0,0,3,150606
6,16,0,3,0,0,0,3,150607
19,24,0,1,2006,0,0,1,150608
5,19,1,3,0,0,0,1,150609
17,20,1,1,2011,0,0,3,150610
6,15,0,3,0,0,0,3,150611
15,21,1,1,2010,0,0,1,150612
13,20,1,1,2011,0,0,2,150613
25,25,1,1,2006,0,0,1,150614
10,18,0,2,0,1,0,1,150615
6,17,1,3,0,0,0,3,150616
14,24,0,1,2009,0,0,3,150617
13,19,0,2,0,1,0,3,150618
16,17,1,3,0,0,0,1,150619
6,17,1,3,0,0,0,2,150620
14,44,1,1,2006,0,1,3,150621
25,15,1,3,0,0,0,4,150622
17,16,0,3,0,0,0,1,150623
5,27,1,1,2004,0,0,2,150624
25,16,1,3,0,0,0,1,150625
13,15,1,3,0,0,0,2,150626
13,17,0,3,0,0,0,3,150627
5,15,0,3,0,0,0,3,150628
13,15,0,3,0,0,0,1,150629
18,32,0,1,2004,0,0,1,150630
13,17,0,2,0,1,0,1,150631
22,42,0,1,2004,0,2,1,150632
5,17,1,3,0,0,0,3,150633
13,24,0,1,2007,0,0,3,150634
24,19,1,1,2011,0,0,1,150635
7,22,0,1,2008,0,0,1,150636
2,25,0,1,2006,0,2,3,150637
25,16,0,3,0,0,0,3,150638
14,18,0,2,0,1,0,2,150639
13,17,0,2,0,1,0,1,150640
19,17,1,2,0,1,0,3,150641
9,24,0,1,2007,0,1,2,150642
25,50,1,4,0,0,1,1,150643
21,34,1,4,0,0,0,1,150644
5,29,0,4,0,0,0,3,150645
25,18,1,2,0,1,0,1,150646
13,21,0,1,2009,0,0,1,150647
25,21,1,1,2010,0,0,3,150648
5,18,0,1,2012,0,0,1,150649
24,18,0,2,0,1,0,1,150650
25,17,0,2,0,1,0,1,150651
6,26,0,1,2005,0,1,1,150652
6,15,0,3,0,0,0,1,150653
14,22,1,3,0,0,0,3,150654
7,18,0,1,2012,0,0,3,150655
25,17,0,2,0,1,0,1,150656
12,18,0,2,0,1,0,1,150657
25,33,0,1,2004,0,0,1,150658
15,15,0,3,0,0,0,2,150659
25,18,0,2,0,1,0,1,150660
25,22,0,1,2009,0,0,3,150661
13,22,0,1,2011,0,0,1,150662
2,40,0,1,2012,0,0,3,150663
12,17,0,2,0,1,0,0,150664
10,38,1,1,2004,0,2,3,150665
6,20,1,1,2010,0,0,1,150666
7,44,0,1,2004,0,0,3,150667
13,17,0,3,0,0,0,3,150668
19,19,0,1,2012,0,0,1,150669
14,24,0,1,2011,0,0,3,150670
6,17,1,3,0,0,0,1,150671
20,18,0,2,0,1,0,3,150672
13,20,1,1,2011,0,0,0,150673
11,23,0,1,2012,0,0,0,150674
15,18,1,1,2012,0,0,3,150675
13,21,0,1,2009,0,0,3,150676
6,41,0,1,2004,0,2,3,150677
5,17,1,2,0,2,0,3,150678
12,21,1,1,2011,0,0,1,150679
12,40,1,1,2010,0,1,1,150680
19,30,0,1,2008,0,0,2,150681
19,28,0,1,2004,0,1,3,150682
14,24,1,1,2009,0,0,3,150683
2,20,1,1,2012,0,0,1,150684
20,18,0,3,0,0,0,3,150685
17,15,0,3,0,0,0,3,150686
6,15,1,3,0,0,0,3,150687
26,16,0,3,0,0,0,1,150688
20,17,0,1,2012,0,0,3,150689
25,16,1,3,0,0,0,1,150690
6,22,1,1,2012,0,0,1,150691
